Species_Name,Scientific_Name,Conservation_Status,Dominant_Threat_Factor,Correlation_Value,Years_Max,Population_Trend_Summary,Conservation_Suggestion
Lion-tailed Macaque,Macaca silenus,Endangered,Habitat loss and fragmentation,0.88,60,Declining,"Stop encroachment, control hunting, prevent road-kills, manage fragmentation, restore degraded habitats, and implement conservation breeding."
Bonnet Macaque,Macaca radiata,Vulnerable,Human-wildlife conflict,0.75,100,Population decreasing,Plan effective conservation strategies for this commensal species before its status worsens.
Nilgiri Langur,Semnopithecus johnii,Vulnerable,Habitat destruction and poaching,0.78,100,Population decreasing,"Implement conservation plans including training forest staff, conflict resolution, and community involvement."
Tufted Grey Langur,Semnopithecus priam,Near Threatened,"Habitat loss, degradation, and fragmentation",0.55,150,Population decreasing,"Focus on resolving human-primate conflicts, especially crop raiding, through community-based programs."
Grey Slender Loris,Loris lydekkerianus,Near Threatened,Habitat loss and fragmentation; poaching,0.58,150,Population decreasing,The involvement of local communities and the forest department is essential for creating awareness and monitoring conflict zones.
South-western Langur,Semnopithecus hypoleucos,Least Concern,Habitat loss and fragmentation; human-langur conflicts,0.25,200,Generally stable,Conservation strategies should be community-focused to address human-primate conflicts.
Bengal Tiger,Panthera tigris,Endangered,Poaching for Illegal Wildlife Trade,0.93,60,Still at high risk despite conservation success,"Strengthen anti-poaching patrols, implement stricter law enforcement, and establish wildlife corridors."
Indian Leopard,Panthera pardus,Vulnerable,Human-leopard conflict; illegal trade in skins,0.84,100,Population is declining,Focus on mitigating human-leopard conflict through community education. Protecting and restoring habitat connectivity is also essential.
Indian Grey Wolf,Canis lupus pallipes,Endangered (in India),Habitat destruction and persecution by humans,0.83,60,"Population estimated at 2,000-3,000 individuals; declining","Focus on promoting coexistence with humans, including community education and compensation programs for livestock loss."
Dhole (Indian Wild Dog),Cuon alpinus,Endangered,Habitat Loss and Prey Depletion,0.85,60,"Population decreasing, estimated at fewer than 2,500 mature individuals","Protect forest habitats and the prey species they depend on, and prevent forest fragmentation."
Golden Jackal,Canis aureus,Least Concern,Human-wildlife conflict and habitat loss,0.2,200,Widespread and common,Conservation efforts should focus on public awareness programs to reduce human-jackal conflict and on creating coexistence strategies.
Striped Hyena,Hyaena hyaena,Near Threatened,Persecution by humans; habitat loss and road kills,0.59,150,Population is dwindling in many parts of its range,Community-based conservation is key to changing negative perceptions and minimizing human-hyena conflict.
Sloth Bear,Melursus ursinus,Vulnerable,Habitat loss and fragmentation; human-wildlife conflict; poaching,0.82,100,Decreasing overall due to habitat loss and human conflict,Protect and connect large forest patches to create wildlife corridors. Reducing human-bear conflict is also crucial.
Rusty-spotted Cat,Prionailurus rubiginosus,Near Threatened,Habitat loss; persecution by farmers,0.5,150,Overall population is declining,Conservation needs to focus on habitat preservation. Community education is essential to reduce retaliatory killing.
Jungle Cat,Felis chaus,Least Concern,Habitat loss (wetlands); persecution,0.35,200,Wide range and adaptable nature,Protect its wetland habitats. Public awareness about the species' importance in controlling rodent populations is vital.
Leopard Cat,Prionailurus bengalensis,Least Concern,Habitat loss and fragmentation; poaching for fur/pet trade,0.3,200,Widespread and common,Conservation efforts should focus on regulating the illegal pet trade and enforcing laws that protect the species.
Fishing Cat,Prionailurus viverrinus,Vulnerable,Wetland degradation/destruction; pollution; retaliatory killings,0.85,100,Global population declined by ∼30% in the last 15 years,Protecting and restoring wetlands is the most critical step. Control pollution and use community engagement/education to reduce conflict.
Malabar Large-spotted Civet,Viverra civettina,Critically Endangered,Severe Habitat Loss and Fragmentation,0.95,40,"Possibly extinct, no confirmed sightings since the early 1990s","Urgent action is needed: protecting remaining forest fragments, implementing conservation breeding programs, and conducting intensive surveys."
Small Indian Civet,Viverricula indica,Least Concern,Habitat degradation and poaching,0.28,200,Wide distribution and adaptability,Focus on public awareness about the species' importance and protecting its habitats.
Common Palm Civet,Paradoxurus hermaphroditus,Least Concern,Habitat loss and persecution (pest); illegal pet trade,0.33,200,Wide distribution and adaptability,Focus on developing coexistence strategies with local communities to mitigate conflict.
Brown Palm Civet,Paradoxurus jerdoni,Least Concern,Habitat loss and fragmentation,0.38,200,Relatively stable population within its limited range,Conservation efforts should prioritize the protection of its specific forest habitats to prevent further fragmentation.
Common Mongoose,Herpestes edwardsii,Least Concern,Road kills and hunting,0.15,200,Highly adaptable and widespread,Focus on public awareness to reduce persecution and road accidents.
Ruddy Mongoose,Herpestes smithii,Least Concern,Habitat loss,0.1,200,Widespread and common,Habitat protection is crucial for this species.
Stripe-necked Mongoose,Herpestes vitticollis,Least Concern,Habitat loss (riparian habitats),0.22,200,Widespread and common,Protecting the riverside habitats where it lives is essential for its conservation.
Smooth-coated Otter,Lutrogale perspicillata,Vulnerable,Habitat loss and pollution of water bodies; poaching,0.77,100,Population decreasing,Protecting freshwater ecosystems from pollution and encroachment is critical. Anti-poaching efforts and community education are also vital.
Nilgiri Marten,Martes gwatkinsii,Vulnerable,Habitat loss and fragmentation,0.76,100,Small and fragmented population,Protecting its unique montane forest habitat and establishing wildlife corridors to connect fragmented areas are essential.
Honey Badger,Mellivora capensis,Least Concern,Habitat loss and persecution (HWC),0.37,200,Wide adaptability,Community education is crucial to reduce conflict and promote coexistence with this species.
Brown Mongoose,Herpestes fuscus,Least Concern,Habitat loss and fragmentation,0.29,200,Widespread and common,Conservation efforts should focus on the protection of its specific montane forest habitat.
Asiatic Elephant,Elephas maximus,Endangered,"Habitat loss, fragmentation, and human-elephant conflict",0.91,60,Declining due to human encroachment and high conflict rates,"Secure and restore habitats, establish wildlife corridors, and mitigate human-elephant conflict through community engagement."
Gaur (Indian Bison),Bos gaurus,Vulnerable,Habitat loss and fragmentation; poaching,0.74,100,Population decreasing,Conservation efforts should focus on habitat protection and anti-poaching measures.
Sambar Deer,Rusa unicolor,Vulnerable,Habitat loss and degradation; poaching,0.73,100,Population decreasing,Habitat protection and strict anti-poaching laws are vital.
Spotted Deer (Chital),Axis axis,Least Concern,Habitat loss and poaching,0.18,200,Species is stable,Continued habitat protection is needed to ensure the species' long-term stability.
Indian Muntjac,Muntiacus muntjak,Least Concern,Habitat loss and hunting,0.21,200,Widespread across India and Southeast Asia,Habitat protection and community-based conservation.
Wild Boar,Sus scrofa,Least Concern,Persecution (pest) by farmers,0.1,200,Highly adaptable and widespread,"No specific conservation measures are required, but management of human-wildlife conflict is needed."
Four-horned Antelope,Tetracerus quadricornis,Vulnerable,Habitat loss and fragmentation; hunting,0.72,100,Population decreasing,Protecting its specific habitat and strict enforcement of anti-poaching laws.
Blackbuck,Antilope cervicapra,Least Concern,Habitat loss and hunting (historical),0.12,200,Population has recovered,Continued habitat protection is vital to prevent future decline.
Indian Chevrotain,Moschiola indica,Least Concern,Habitat loss and hunting,0.23,200,Widespread and common,Protecting its forest habitat is essential.
Indian Gazelle (Chinkara),Gazella bennettii,Least Concern,Habitat loss and hunting,0.19,200,Widespread and common,Habitat protection and anti-poaching measures.
Malabar Giant Squirrel,Ratufa indica,Least Concern,Habitat loss and fragmentation,0.26,200,Under threat from habitat loss in certain areas,"Protecting its unique forest habitats, especially in the Western and Eastern Ghats, is crucial for its long-term survival."
