Species_Name,Scientific_Name,Class_Type,Group_Family,Ecosystem,Habitat_Details,Conservation_Status,IUCN_Status_Code,Dominant_Threat_Factor,Conservation_Suggestions_Detailed,N_Current_Pop_Size,r_Intrinsic_Growth_Rate,Es_Environmental_Stochasticity,Habitat_Quality_Index,Threat_Score_Pollution,Threat_Score_Overfishing,Threat_Score_ClimateChange,Overharvest_Rate,Conservation_Priority_Score
Unknown,,Reptile,Crocodylidae,Freshwater (Aquatic),"Found in a wide variety of habitats including rivers, lakes, reservoirs, and marshes.",Vulnerable,VU,o Habitat loss from wetland conversion for agriculture and development,Protecting and restoring wetland habitats. Implementing community awareness programs to mitigate conflict and ensure stricter laws against illegal killing.,20885.375,0.114850512,0.211097584,0.590352761,0.524082795,0.470055388,0.359209624,0.105656905,5.26
Indian Flapshell Turtle,Lissemys punctata,Reptile,Trionychidae,Freshwater (Aquatic),"Found in ponds, lakes, marshes, and slow-moving rivers.",Vulnerable,VU,o Poaching for meat and illegal trade,Strict enforcement of anti-poaching laws. Protecting and restoring freshwater bodies and monitoring trade.,26416.5,0.113736936,0.214794885,0.679843479,0.468505148,0.415032753,0.538477489,0.133306504,5.37
Indian Black Turtle,Melanochelys trijuga,Reptile,Geoemydidae,Freshwater (Aquatic),"Common in ponds, marshes, and paddy fields, often seen basking on muddy banks or floating logs.",Least Concern,LC,Habitat degradation and localized collection for the illegal pet trade and consumption,Monitoring of local populations and habitat maintenance to prevent localized declines.,28104,0.111294984,0.20214383,0.643953659,0.630753363,0.566776351,0.418681852,0.130099338,3.69
Karnataka Caecilian,Gegeneophis carnosus,Carnose Caecilian,Ichthyophiidae,Primarily moist soil and leaf litter within tropical evergreen and deciduous forests,Also occurs in agricultural land like coffee plantations (Semi-aquatic/Terrestrial).,Least Concern,LC,Habitat loss due to the conversion of native forests into agricultural plantations,"Protecting its native forest habitats, especially the moist soil layers where it burrows.",26759.625,0.125302176,0.217632809,0.620423305,0.558373389,0.525423785,0.335780365,0.072897011,3.37
Beddome's Caecilian,Ichthyophis beddomei,Amphibian,Ichthyophiidae,Moist soil and leaf litter of tropical evergreen and moist deciduous forests,"Moist soil and leaf litter of tropical evergreen and moist deciduous forests, often near streams (Semi-aquatic/Terrestrial).",Least Concern,LC,Habitat loss and fragmentation as forests are cleared for agriculture and human settlements,"Protection of its forest habitats, with a focus on areas near streams where breeding and egg-laying occur.",15449.375,0.094302141,0.203031302,0.507219478,0.506308422,0.369778145,0.466095716,0.143001648,3.24
Indian Bullfrog,Hoplobatrachus tigerinus,Amphibian,Dicroglossidae,Freshwater and Terrestrial,"Found in grasslands, agricultural areas, and human-modified landscapes, typically near ponds or other water bodies.",Least Concern,LC,Hunting for consumption,Monitoring hunting pressure to ensure populations remain stable and public awareness.,27680.625,0.103932654,0.261255909,0.624351038,0.330649326,0.477811936,0.457616413,0.152863283,3.11
Indian Skittering Frog,Euphlyctis cyanophlyctis,Amphibian,Dicroglossidae,Freshwater (Aquatic),"Highly aquatic, found in ponds, marshes, rice paddies, and streams. Known for ""skittering"" on the water's surface.",Least Concern,LC,Pollution of water bodies from agricultural runoff and industrial waste,Maintaining unpolluted freshwater ecosystems is crucial to support this and other aquatic life.,22822.375,0.121661903,0.153256746,0.622477175,0.647956244,0.404652534,0.457228013,0.128796802,3.52
Deccan Mahseer,Tor khudree,Freshwater Fish,Cyprinidae,Freshwater (Rivers),Found in the rivers and reservoirs of the Deccan Plateau region.,Endangered,EN,o Overfishing,Protection of spawning and feeding grounds. Implementation of conservation breeding and restocking programs.,31759.375,0.127953701,0.207155597,0.778106935,0.413231085,0.557564518,0.402430757,0.137074014,6.29
Red Mahseer,Tor remadevii,Freshwater Fish,Cyprinidae,Freshwater (Cauvery),Endemic to the Cauvery River system in southern India.,Critically Endangered,CR,o Severe habitat fragmentation due to extensive damming on the Cauvery River,Urgent habitat restoration along the Cauvery River. Strict control on pollution and monitoring of water management practices.,18528.125,0.122043629,0.18616451,0.506326956,0.480849082,0.598341874,0.553686903,0.128359254,7.72
Catla,Catla catla,Major Carp,Cyprinidae,Freshwater (Rivers,"Freshwater (Rivers/Reservoirs). Naturally found in major rivers, lakes, and reservoirs; widely used in aquaculture.",Least Concern,LC,Overfishing in natural river systems and habitat degradation,Regulating fishing practices in major rivers and maintaining the ecological integrity of natural river systems.,29442,0.104050074,0.189040995,0.638446986,0.422379055,0.357856193,0.618382102,0.107080756,3.33
Rohu,Labeo rohita,Freshwater Fish,Cyprinidae,Freshwater (Rivers,"Freshwater (Rivers/Reservoirs). Naturally found in the slow-moving and stagnant waters of rivers, reservoirs, and lakes.",Least Concern,LC,"While widely farmed, wild populations face threats from overfishing, habitat degradation, and the fragmentation of river systems by dams, which restricts natural migration and breeding",Regulate fishing practices in natural riverine environments. Maintain connectivity within river systems for breeding migration.,28588.25,0.111800191,0.244718499,0.706185822,0.406931293,0.52377896,0.497891571,0.154642239,3.38
Mrigal,Cirrhinus mrigala,Freshwater Fish,Cyprinidae,Freshwater (Rivers,"Freshwater (Rivers/Reservoirs). Inhabits the bottom layers of rivers, reservoirs, and ponds, preferring slow-moving water.",Least Concern,LC,"Wild stocks are threatened by habitat degradation, siltation, and pollution of river environments",Pollution control in major rivers and conservation of natural breeding grounds.,25874.25,0.112912154,0.161557858,0.491774899,0.504159218,0.422050639,0.544310735,0.152230297,3.45
Kolus,Hypselobarbus kolus,Freshwater Fish,Cyprinidae,Freshwater (Krishna River System),Primarily found in the main channels and larger tributaries of the Krishna River system and the associated rivers in the Western Ghats.,Vulnerable,VU,"Habitat loss and fragmentation caused by dams and reservoirs on the Krishna River, leading to restricted movement and loss of spawning grounds","Protecting remaining river stretches, regulating dam operations to maintain essential water flow, and curbing overfishing.",20473.375,0.155979489,0.231545164,0.616476717,0.546531392,0.405237127,0.374357937,0.174546103,5.21
Fringed Labeo,Labeo fimbriatus,Freshwater Fish,Cyprinidae,Freshwater (Rivers,Freshwater (Rivers/Reservoirs). Found in rivers and reservoirs across peninsular India.,Least Concern,LC,Localized overfishing and habitat degradation are the main threats,Sustainable fishing practices and pollution control in freshwater bodies.,24055.75,0.132951986,0.181383599,0.56760677,0.535684418,0.3992922,0.450281713,0.159426423,3.31
