ID,Common_Name,Scientific_Name,Group_Family,Ecosystem_Habitat,Conservation_Status,Dominant_Threats,Conservation_Suggestions,Source_File
1,Marsh Crocodile (Mugger Crocodile),Crocodylus palustris,Crocodylidae (Reptile),"Freshwater (Aquatic). Found in a wide variety of habitats including rivers, lakes, reservoirs, and marshes.",Vulnerable. The population is increasing due to successful conservation efforts.,"Habitat loss from wetland conversion for agriculture and development. Accidental drowning in fishing nets. Persecution due to human-crocodile conflict, especially when they prey on livestock.",Protecting and restoring wetland habitats. Implementing community awareness programs to mitigate conflict and ensure stricter laws against illegal killing.,aquaticlife dataset.docx
2,Indian Flapshell Turtle,Lissemys punctata,Trionychidae (Reptile),"Freshwater (Aquatic). Found in ponds, lakes, marshes, and slow-moving rivers.",Vulnerable.,Poaching for meat and illegal trade. Habitat loss due to the draining of wetlands and ponds. Water pollution and entanglement in fishing gear.,Strict enforcement of anti-poaching laws. Protecting and restoring freshwater bodies and monitoring trade.,aquaticlife dataset.docx
3,Indian Black Turtle,Melanochelys trijuga,Geoemydidae (Reptile),"Freshwater (Aquatic). Common in ponds, marshes, and paddy fields, often seen basking on muddy banks or floating logs.",Least Concern.,Habitat degradation and localized collection for the illegal pet trade and consumption.,Monitoring of local populations and habitat maintenance to prevent localized declines.,aquaticlife dataset.docx
4,Karnataka Caecilian (Carnose Caecilian),Gegeneophis carnosus,Ichthyophiidae (Amphibian),Primarily moist soil and leaf litter within tropical evergreen and deciduous forests. Also occurs in agricultural land like coffee plantations (Semi-aquatic/Terrestrial).,Least Concern.,Habitat loss due to the conversion of native forests into agricultural plantations.,"Protecting its native forest habitats, especially the moist soil layers where it burrows.",aquaticlife dataset.docx
5,Beddome's Caecilian,Ichthyophis beddomei,Ichthyophiidae (Amphibian),"Moist soil and leaf litter of tropical evergreen and moist deciduous forests, often near streams (Semi-aquatic/Terrestrial).",Least Concern.,Habitat loss and fragmentation as forests are cleared for agriculture and human settlements.,"Protection of its forest habitats, with a focus on areas near streams where breeding and egg-laying occur.",aquaticlife dataset.docx
6,Indian Bullfrog,Hoplobatrachus tigerinus,Dicroglossidae (Amphibian),"Freshwater and Terrestrial. Found in grasslands, agricultural areas, and human-modified landscapes, typically near ponds or other water bodies.",Least Concern.,Hunting for consumption (frog legs) is a significant localized threat.,Monitoring hunting pressure to ensure populations remain stable and public awareness.,aquaticlife dataset.docx
7,Indian Skittering Frog,Euphlyctis cyanophlyctis,Dicroglossidae (Amphibian),"Freshwater (Aquatic). Highly aquatic, found in ponds, marshes, rice paddies, and streams. Known for ""skittering"" on the water's surface.",Least Concern. The species is highly widespread and adaptable.,Pollution of water bodies from agricultural runoff and industrial waste.,Maintaining unpolluted freshwater ecosystems is crucial to support this and other aquatic life.,aquaticlife dataset.docx
8,Deccan Mahseer,Tor khudree,Cyprinidae (Freshwater Fish),Freshwater (Rivers). Found in the rivers and reservoirs of the Deccan Plateau region.,Endangered.,Overfishing. Habitat degradation (silting and pollution). Barriers to migration (dams and weirs) that block access to critical spawning grounds.,Protection of spawning and feeding grounds. Implementation of conservation breeding and restocking programs.,aquaticlife dataset.docx
9,Red Mahseer,Tor remadevii,Cyprinidae (Freshwater Fish),Freshwater (Cauvery). Endemic to the Cauvery River system in southern India.,Critically Endangered (CR).,Severe habitat fragmentation due to extensive damming on the Cauvery River. Pollution and altered water flow. Competition and hybridization with non-native fish species.,Urgent habitat restoration along the Cauvery River. Strict control on pollution and monitoring of water management practices.,aquaticlife dataset.docx
10,Catla (Major Carp),Catla catla,Cyprinidae (Freshwater Fish),"Freshwater (Rivers/Reservoirs). Naturally found in major rivers, lakes, and reservoirs; widely used in aquaculture.",Least Concern. Its prevalence in aquaculture stabilizes its overall status.,Overfishing in natural river systems and habitat degradation.,Regulating fishing practices in major rivers and maintaining the ecological integrity of natural river systems.,aquaticlife dataset.docx
11,Rohu,Labeo rohita,Cyprinidae (Freshwater Fish),"Freshwater (Rivers/Reservoirs). Naturally found in the slow-moving and stagnant waters of rivers, reservoirs, and lakes.","Least Concern. It is one of the most important and widely cultured freshwater fish in India, which supports its population stability.","While widely farmed, wild populations face threats from overfishing, habitat degradation, and the fragmentation of river systems by dams, which restricts natural migration and breeding.",Regulate fishing practices in natural riverine environments. Maintain connectivity within river systems for breeding migration.,aquaticlife dataset.docx
12,Mrigal,Cirrhinus mrigala,Cyprinidae (Freshwater Fish),"Freshwater (Rivers/Reservoirs). Inhabits the bottom layers of rivers, reservoirs, and ponds, preferring slow-moving water.","Least Concern. Similar to Rohu, its extensive use in aquaculture ensures a stable overall status.","Wild stocks are threatened by habitat degradation, siltation, and pollution of river environments.",Pollution control in major rivers and conservation of natural breeding grounds.,aquaticlife dataset.docx
13,Kolus,Hypselobarbus kolus,Cyprinidae (Freshwater Fish),Freshwater (Krishna River System). Primarily found in the main channels and larger tributaries of the Krishna River system and the associated rivers in the Western Ghats.,Vulnerable.,"Habitat loss and fragmentation caused by dams and reservoirs on the Krishna River, leading to restricted movement and loss of spawning grounds. Overfishing is also a threat.","Protecting remaining river stretches, regulating dam operations to maintain essential water flow, and curbing overfishing.",aquaticlife dataset.docx
14,Fringed Labeo,Labeo fimbriatus,Cyprinidae (Freshwater Fish),Freshwater (Rivers/Reservoirs). Found in rivers and reservoirs across peninsular India.,Least Concern.,Localized overfishing and habitat degradation are the main threats.,Sustainable fishing practices and pollution control in freshwater bodies.,aquaticlife dataset.docx
15,Black Rohu,Labeo calbasu,Cyprinidae (Freshwater Fish),"Freshwater (Rivers/Reservoirs). Inhabits the bottom layers of rivers, pools, and slow-moving or standing water bodies.",Least Concern.,Habitat loss due to the draining of wetlands and overfishing.,Protecting wetlands and implementing controlled fishing.,aquaticlife dataset.docx
16,Cauvery Labeo,Labeo kontius,Cyprinidae (Freshwater Fish),Freshwater (Cauvery River System). Endemic to the Cauvery and its major tributaries in South India.,Endangered.,"Habitat fragmentation from dams and barrages on the Cauvery River, which block its migration routes. Sand mining and pollution further degrade its habitat.",Prioritizing fish passage/ladders at dams and regulating sand mining activities in river beds.,aquaticlife dataset.docx
17,Arulius Barb,Dawkinsia arulius,Cyprinidae (Freshwater Fish),"Freshwater (Endemic). Found in clear, running streams and rivers in the Cauvery River drainage in South India.",Vulnerable.,"Habitat loss due to damming and the aquarium trade collection, as it is a highly valued ornamental fish.",Strict regulation of collection for the ornamental trade. Protecting its specific riverine habitats.,aquaticlife dataset.docx
18,Filament Barb,Puntius filamentosus,Cyprinidae (Freshwater Fish),"Freshwater (Ornamental). Found in streams, rivers, and backwaters in the Western Ghats and peninsular India.",Least Concern.,Localized collection for the ornamental fish trade and habitat degradation.,Sustainable collection practices and habitat protection.,aquaticlife dataset.docx
19,Denison's Barb (Red-line Torpedo Barb),Puntius denisonii,Cyprinidae (Freshwater Fish),"Freshwater (Ornamental). Found in clear, fast-flowing streams and rivers in the Western Ghats (Kerala).",Endangered.,"Intensive and unregulated collection for the international aquarium trade is the primary threat, coupled with habitat degradation due to hydroelectric projects and agriculture.",Strict regulation or a ban on collection from the wild. Protection and restoration of its endemic river habitats.,aquaticlife dataset.docx
20,Rosy Barb,Puntius conchonius,Cyprinidae (Freshwater Fish),"Freshwater (Streams/Ponds). Found in streams, lakes, and brackish waters with dense vegetation.",Least Concern.,"No major threats, as it is widespread and highly adaptable.",None specifically needed.,aquaticlife dataset.docx
